접수년월,경찰서명,신고건수전체,신고성별남성,신고성별여성,신고성별불상,신고성별기타,접수긴급유형긴급,접수긴급유형중요,접수긴급유형일반,접수긴급유형민원,접수긴급유형기타,발생요일일요일,발생요일월요일,발생요일화요일,발생요일수요일,발생요일목요일,발생요일금요일,발생요일토요일,발생시간대00,발생시간대01,발생시간대02,발생시간대03,발생시간대04,발생시간대05,발생시간대06,발생시간대07,발생시간대08,발생시간대09,발생시간대10,발생시간대11,발생시간대12,발생시간대13,발생시간대14,발생시간대15,발생시간대16,발생시간대17,발생시간대18,발생시간대19,발생시간대20,발생시간대21,발생시간대22,발생시간대23
202311,서울동작,47,18,16,13,0,0,4,43,0,0,7,1,7,13,6,3,10,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1,5,2,4,6,9,8,5,3,0
202311,서울광진,52,31,8,13,0,0,3,49,0,0,6,12,3,8,6,8,9,2,1,2,0,0,0,0,0,0,0,0,0,4,0,1,1,2,8,4,6,8,3,8,2
202311,서울강서,82,41,19,22,0,0,5,72,3,2,13,9,15,15,7,13,10,9,3,3,0,0,0,1,1,1,0,0,2,0,0,3,3,11,5,3,6,5,7,11,8
202311,서울강남,42,21,14,7,0,0,3,38,1,0,2,0,6,10,7,11,6,0,1,2,1,0,0,1,0,2,1,0,0,0,0,0,2,8,6,3,2,2,3,6,2
202311,서울수서,74,44,16,14,0,0,5,68,0,1,6,13,10,12,13,16,4,5,1,0,0,0,0,0,0,0,0,0,1,1,0,1,2,9,2,3,6,10,10,16,7
202311,서울성북,32,16,9,7,0,0,1,30,1,0,7,7,0,12,3,2,1,0,1,1,0,0,0,0,0,1,0,0,1,0,4,0,3,1,1,0,2,5,8,3,1
202311,서울강북,44,21,10,13,0,0,1,42,1,0,7,3,1,11,5,11,6,5,2,0,3,1,1,1,0,0,0,0,0,0,0,0,2,2,3,6,1,6,6,4,1
202311,서울송파,66,39,18,9,0,0,3,63,0,0,8,8,10,11,12,8,9,4,3,1,2,4,0,0,0,1,1,0,0,2,0,0,2,3,5,2,5,7,8,11,5
202311,서울방배,17,15,0,2,0,0,2,14,1,0,3,2,0,6,1,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,4,4,2
202311,서울영등포,46,20,14,12,0,0,2,43,1,0,5,3,4,6,7,9,12,3,2,3,2,1,0,0,1,0,0,0,0,0,2,0,0,1,4,7,2,4,3,6,5
202311,서울서대문,52,28,10,14,0,0,3,47,1,1,7,4,9,12,4,10,6,3,2,1,2,0,0,0,1,2,0,0,1,0,0,0,1,3,1,2,5,7,8,9,4
202311,서울중부,12,5,3,4,0,0,3,9,0,0,1,0,1,1,5,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,3,0,1,0,0,1,0,1
202311,서울종암,20,12,6,2,0,0,2,17,1,0,2,2,3,4,5,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,1,2,6,2,2
202311,서울노원,95,53,18,24,0,0,12,82,1,0,13,9,13,19,16,11,14,5,3,2,0,2,1,0,0,0,0,0,3,3,4,0,4,8,8,9,7,12,10,7,7
202311,서울도봉,41,18,16,7,0,0,3,35,2,1,4,4,4,8,4,10,7,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,3,1,3,5,3,8,8,4
202311,서울중랑,58,36,14,8,0,0,5,51,2,0,11,11,5,5,9,10,7,3,4,0,2,1,0,1,1,2,1,0,0,0,0,1,4,6,3,2,3,3,3,15,3
202311,서울금천,32,18,9,5,0,0,1,31,0,0,4,3,5,3,6,4,7,3,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,2,3,4,3,0,1,6,2
202311,서울서초,32,13,5,14,0,0,2,29,1,0,5,0,5,2,4,7,9,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,6,0,9,2,7
202311,서울강동,66,34,12,20,0,0,1,64,1,0,8,11,5,14,10,7,11,1,1,2,0,0,0,0,1,0,0,1,1,1,0,1,8,3,5,6,5,11,4,8,7
202311,서울관악,53,35,5,13,0,0,9,38,6,0,15,7,10,5,7,3,6,11,0,0,3,0,0,0,1,0,0,0,0,0,0,0,5,1,1,0,2,2,11,9,7
202311,서울성동,21,9,6,6,0,0,3,17,0,1,6,2,3,3,2,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,2,0,1,7,2,2,2
202311,서울남대문,3,2,1,0,0,0,0,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
202311,서울혜화,5,2,2,1,0,0,0,3,2,0,2,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
202311,서울동대문,12,7,4,1,0,0,1,9,0,2,1,2,1,5,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,2,3
202311,서울은평,35,23,5,7,0,0,1,34,0,0,3,2,7,5,5,8,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,7,3,2,1,3,6,2
202311,서울구로,41,26,7,8,0,0,3,36,1,1,5,7,4,12,7,2,4,5,0,2,2,1,2,1,1,3,1,0,0,0,1,1,0,2,2,3,1,1,4,4,4
202311,서울양천,48,29,8,11,0,0,3,44,1,0,7,3,10,7,9,8,4,4,2,2,0,0,0,1,0,0,0,0,0,2,3,1,4,1,2,3,0,5,4,13,1
202311,서울마포,91,50,14,27,0,0,5,84,1,1,26,10,4,14,10,10,17,1,3,1,0,4,0,0,0,0,0,0,0,0,2,1,4,9,9,4,18,20,4,8,3
202311,서울용산,5,3,1,1,0,0,0,5,0,0,1,1,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
202311,ETC,579,342,119,118,0,0,20,517,20,22,73,41,67,122,95,79,102,28,16,18,12,3,3,1,3,4,0,5,3,8,15,22,35,46,47,26,54,67,71,61,31
202312,서울광진,48,23,11,14,0,0,1,46,1,0,12,5,8,12,2,7,2,1,2,1,0,0,1,0,0,0,0,1,0,1,1,4,3,3,4,2,3,4,4,6,7
202312,서울수서,36,19,7,10,0,0,1,34,1,0,9,1,3,7,3,9,4,1,5,1,0,0,0,1,0,0,0,0,0,1,0,1,2,0,3,1,2,3,8,4,3
202312,서울송파,42,21,7,14,0,0,4,37,1,0,4,4,5,4,10,7,8,3,1,0,1,1,0,0,0,0,0,0,0,2,2,5,4,2,2,3,2,4,3,4,3
202312,서울서초,30,15,7,8,0,0,1,29,0,0,5,3,5,3,4,4,6,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4,1,2,3,6,1,7,1
202312,서울도봉,30,15,9,6,0,0,3,27,0,0,4,1,4,7,2,7,5,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,5,4,2,5,2
202312,서울동작,19,11,3,5,0,0,3,16,0,0,3,2,1,3,2,1,7,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,4,0,3,2,2
202312,서울노원,49,31,9,9,0,0,8,37,2,2,7,8,8,4,5,10,7,1,7,3,0,0,0,0,0,1,0,0,0,0,0,1,8,5,1,2,5,0,5,7,3
202312,서울서부,35,16,8,11,0,0,2,33,0,0,1,3,6,11,3,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,2,2,7,4,5,5,1
202312,서울성동,19,16,1,2,0,0,1,16,2,0,3,5,2,0,3,3,3,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,3,2,2,0,0,2,0,2,2
202312,서울강남,22,9,4,9,0,0,0,21,1,0,3,3,1,6,2,3,4,6,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,3,1,1,0,3,3,0
202312,서울동대문,24,18,5,1,0,0,4,18,2,0,3,2,5,1,1,4,8,2,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,4,4,2
202312,서울종암,18,11,2,5,0,0,3,15,0,0,4,2,1,1,2,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,1,0,2,3,3,1
