,시군구명,시설코드,조성년월,설치대수,데이터 기준일자
534,중구,305,,1,20221014
535,중구,304,,1,20221014
536,중구,305,,1,20221014
537,중구,304,,1,20221014
538,중구,302,,4,20221014
539,중구,305,,1,20221014
540,중구,301,,1,20221014
541,중구,305,,1,20221014
542,중구,305,,1,20221014
543,중구,305,,1,20221014
544,중구,307,,1,20221014
545,중구,304,,1,20221014
546,중구,302,,5,20221014
547,중구,305,,1,20221014
548,중구,307,,1,20221025
549,중구,301,,1,20221014
550,중구,307,,1,20221014
551,중구,305,,1,20221014
552,중구,304,,1,20221014
553,중구,305,,1,20221014
554,중구,305,,1,20221014
555,중구,301,,1,20221014
556,중구,302,,4,20221014
557,중구,307,,1,20221014
558,중구,301,,1,20221014
559,중구,304,,1,20221014
560,중구,307,,1,20221014
561,중구,305,,1,20221014
562,중구,302,,1,20221014
563,중구,305,,1,20221014
564,중구,305,,1,20221014
565,중구,307,,1,20221014
566,중구,305,,1,20221014
567,중구,304,,1,20221014
568,중구,305,,1,20221014
569,중구,301,,1,20221014
570,중구,302,,1,20221014
571,중구,305,,1,20221014
572,중구,304,,1,20221014
573,중구,307,,1,20221014
574,중구,305,,1,20221014
575,중구,301,,1,20221014
576,중구,305,,1,20221014
577,중구,302,,1,20221014
578,중구,307,,1,20221014
579,중구,304,,1,20221014
580,중구,302,,1,20221014
581,중구,305,,2,20221014
582,중구,305,,2,20221014
583,중구,305,,1,20221014
584,중구,301,,1,20221014
585,중구,302,,1,20221014
586,중구,305,,1,20221014
587,중구,307,,1,20221014
588,중구,305,,1,20221014
589,중구,307,,1,20221014
590,중구,301,,1,20221014
591,중구,302,,1,20221014
592,중구,305,,1,20221014
593,중구,305,,1,20221014
594,중구,301,,1,20221014
595,중구,302,,1,20221014
596,중구,305,,2,20221025
597,중구,302,,1,20221025
598,중구,305,,1,20221025
599,중구,307,,1,20221025
600,중구,304,,1,20221025
601,중구,305,,1,20221025
602,중구,305,,1,20221025
603,중구,305,,1,20221025
604,중구,302,,1,20221025
605,중구,301,,1,20221025
606,중구,301,,1,20221025
607,중구,305,,1,20221025
608,중구,304,,1,20221025
609,중구,305,,1,20221025
610,중구,302,,1,20221025
611,중구,305,,1,20221025
612,중구,304,,1,20221025
613,중구,307,,1,20221025
614,중구,305,,1,20221025
615,중구,305,,1,20221025
616,중구,302,,1,20221025
617,중구,305,,3,20221025
618,중구,305,,1,20221025
619,중구,304,,1,20221025
620,중구,305,,1,20221025
621,중구,305,,1,20221025
622,중구,305,,1,20221025
623,중구,305,,1,20221025
624,중구,307,,1,20221025
625,중구,301,,1,20221025
626,중구,305,,1,20221025
627,중구,302,,1,20221025
628,중구,305,,1,20221025
629,중구,305,,1,20221025
630,중구,302,,1,20221025
631,중구,307,,1,20221025
632,중구,301,,1,20221025
633,중구,304,,1,20221025
634,중구,305,,1,20221025
635,중구,305,,1,20221025
636,중구,305,,1,20221025
637,중구,307,,1,20221025
638,중구,305,,1,20221025
639,중구,305,,1,20221025
640,중구,305,,1,20221025
641,중구,305,,1,20221025
642,중구,304,,1,20221025
643,중구,304,,1,20221025
644,중구,304,,1,20221025
645,중구,304,,1,20221025
646,중구,307,,1,20221025
647,중구,305,,1,20221025
648,중구,305,,1,20221025
649,중구,302,,1,20221025
650,중구,305,,1,20221025
651,중구,302,,1,20221025
652,중구,305,,1,20221025
653,중구,305,,1,20221025
654,중구,305,,1,20221025
655,중구,305,,1,20221025
656,중구,307,,1,20221025
657,중구,305,,1,20221025
658,중구,305,,1,20221025
659,중구,305,,1,20221025
660,중구,305,,1,20221025
661,중구,305,,1,20221025
662,중구,305,,1,20221025
663,중구,307,,1,20221025
664,중구,305,,1,20221025
665,중구,305,,1,20221025
666,중구,305,,1,20221025
667,중구,305,,1,20221025
668,중구,305,,1,20221025
669,중구,305,,1,20221025
670,중구,307,,1,20221025
671,중구,305,,1,20221025
672,중구,302,,1,20221025
673,중구,305,,1,20221025
674,중구,305,,3,20221014
675,중구,305,,1,20221014
676,중구,305,,1,20221014
677,중구,302,,1,20221014
678,중구,307,,1,20221014
679,중구,305,,1,20221014
680,중구,302,,2,20221014
681,중구,305,,1,20221014
682,중구,302,,1,20221014
683,중구,307,,1,20221014
684,중구,305,,1,20221014
685,중구,305,,1,20221014
686,중구,305,,1,20221014
687,중구,305,,1,20221014
688,중구,302,,6,20221014
689,중구,307,,1,20221014
690,중구,301,,1,20221014
691,중구,305,,1,20221014
692,중구,305,,1,20221014
693,중구,302,,1,20221014
