ACPT_YM,PLCST_NM,RPRT_CASCNT_WHOL,RPRT_SEX_MALE,RPRT_SEX_FMLE,RPRT_SEX_UNKWN,RPRT_SEX_ETC,ACPT_EMERG_TYPE_EMERG,ACPT_EMERG_TYPE_IMPRTNC,ACPT_EMERG_TYPE_GNRL,ACPT_EMERG_TYPE_CVAPP,ACPT_EMERG_TYPE_ETC,OCRN_DOTW_SNDD,OCRN_DOTW_MON,OCRN_DOTW_TUE,OCRN_DOTW_WED,OCRN_DOTW_THU,OCRN_DOTW_FRI,OCRN_DOTW_SAT,OCRN_TIZN_00,OCRN_TIZN_01,OCRN_TIZN_02,OCRN_TIZN_03,OCRN_TIZN_04,OCRN_TIZN_05,OCRN_TIZN_06,OCRN_TIZN_07,OCRN_TIZN_08,OCRN_TIZN_09,OCRN_TIZN_10,OCRN_TIZN_11,OCRN_TIZN_12,OCRN_TIZN_13,OCRN_TIZN_14,OCRN_TIZN_15,OCRN_TIZN_16,OCRN_TIZN_17,OCRN_TIZN_18,OCRN_TIZN_19,OCRN_TIZN_20,OCRN_TIZN_21,OCRN_TIZN_22,OCRN_TIZN_23
"202304","서울양천","96","67","13","16","0","0","4","91","1","0","16","16","5","14","11","17","17","6","3","1","0","0","0","0","1","0","0","0","0","1","1","2","5","13","8","9","8","7","10","11","10"
"202304","인천계양","67","34","14","19","0","0","5","61","1","0","8","10","8","11","10","10","10","3","1","1","0","1","0","0","0","2","0","0","0","0","0","2","2","9","8","5","12","5","4","11","1"
"202304","고창","4","3","1","0","0","0","0","4","0","0","0","1","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1"
"202304","인천부평","56","17","21","18","0","0","1","50","1","4","11","10","5","16","1","8","5","7","2","0","1","3","0","0","0","0","0","1","0","1","0","0","0","7","4","2","7","3","9","7","2"
"202304","고흥","1","1","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"202304","남해","5","4","1","0","0","0","0","5","0","0","0","0","0","2","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","1"
"202304","철원","7","5","2","0","0","0","0","7","0","0","0","0","0","2","2","1","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4"
"202304","옥천","1","0","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"202304","서울용산","14","6","2","6","0","0","1","13","0","0","1","2","1","1","7","1","1","2","1","0","0","0","0","0","0","0","1","0","0","0","0","0","4","0","2","0","1","1","1","1","0"
"202304","무안","13","7","2","4","0","0","0","11","2","0","2","1","2","0","0","1","7","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","2","0","0","0","3","2"
"202304","금산","3","2","1","0","0","0","0","3","0","0","3","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"202304","담양","2","2","0","0","0","0","0","2","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"202304","영양","1","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"202304","경상남도고성","2","2","0","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0"
"202304","영월","2","0","0","2","0","0","0","1","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
"202304","영천","5","3","2","0","0","0","0","5","0","0","0","2","0","0","0","2","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0"
"202304","서울구로","72","40","22","10","0","0","8","61","2","1","11","8","5","8","7","23","10","4","1","1","0","1","2","1","0","3","0","1","0","0","3","2","0","13","9","9","3","6","3","8","2"
"202304","영광","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"202304","부여","2","1","0","1","0","0","0","2","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0"
"202304","영동","3","2","1","0","0","0","0","3","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2"
"202304","서울은평","61","37","7","17","0","0","5","55","0","1","14","9","6","8","8","9","7","3","1","0","0","4","0","0","0","0","0","0","1","0","0","1","2","4","7","3","9","12","6","5","3"
"202304","부산금정","34","19","10","5","0","0","0","33","1","0","0","8","4","5","3","11","3","0","0","0","0","0","0","0","2","1","0","0","1","1","0","2","4","7","4","3","1","6","0","1","1"
"202304","단양","1","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"202304","제주청","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"202304","익산","62","45","6","11","0","0","3","56","3","0","17","4","4","2","9","9","17","4","4","6","0","2","0","0","0","0","0","0","0","2","0","1","1","2","3","2","6","13","4","6","6"
"202304","예산","4","2","0","2","0","0","0","4","0","0","0","0","1","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1"
"202304","용인동부","151","93","18","40","0","0","4","134","12","1","24","17","12","23","22","23","30","8","8","0","1","0","0","1","0","0","0","1","0","2","1","1","2","6","19","10","7","18","19","29","18"
"202304","인천미추홀","108","51","24","33","0","0","7","95","6","0","14","21","13","13","15","14","18","6","2","3","0","7","1","0","0","2","0","2","0","0","2","4","5","7","18","11","9","8","8","10","3"
"202304","김포","146","63","30","53","0","0","3","139","4","0","19","11","16","24","25","37","14","3","6","4","3","0","0","0","0","5","2","5","2","1","2","5","2","12","30","10","13","10","11","10","10"
"202304","대구달서","71","32","14","25","0","0","3","64","2","2","8","7","11","6","7","16","16","2","5","3","3","1","1","0","0","0","0","0","0","1","1","1","1","8","8","3","4","13","5","6","5"
"202304","광주","105","69","23","13","0","0","3","99","2","1","23","11","7","10","20","14","20","8","4","3","2","1","1","0","0","0","0","0","0","1","2","3","4","5","15","9","9","12","7","9","10"
"202304","안산상록","145","74","39","32","0","0","4","135","5","1","27","18","12","10","24","17","37","12","5","15","6","2","2","1","0","0","0","0","0","1","4","2","1","9","12","8","10","20","16","12","7"
"202304","의정부","179","82","42","55","0","0","7","166","3","3","25","32","22","18","23","35","24","10","2","4","3","0","0","0","0","1","0","2","0","6","1","5","16","11","30","18","11","16","16","19","8"
"202304","통영","15","13","2","0","0","0","0","15","0","0","3","3","3","1","2","0","3","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","3","0","0","5","2","1","1"
"202304","평택","126","76","31","19","0","0","8","114","3","1","17","21","8","19","17","18","26","4","9","6","2","1","2","1","0","0","0","0","0","2","3","2","1","9","19","9","11","12","14","12","7"
"202304","부천오정","47","20","20","7","0","0","0","44","2","1","7","6","8","8","6","5","7","1","3","0","0","0","1","0","0","0","1","1","0","3","0","2","2","4","6","6","5","1","3","7","1"
"202304","화성서부","54","33","8","13","0","0","0","52","0","2","6","11","1","6","9","6","15","4","2","2","1","0","0","0","0","0","0","0","0","0","1","5","2","2","2","2","4","6","9","5","7"
"202304","화성동탄","123","68","23","32","0","0","5","115","1","2","15","9","14","13","21","18","33","7","6","4","3","0","2","1","0","0","0","0","1","2","2","2","1","6","11","13","12","7","15","17","11"
"202304","인천강화","6","3","2","1","0","0","0","6","0","0","1","2","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","2","0","1"
"202304","안산단원","109","51","21","37","0","0","0","104","4","1","17","16","11","12","10","23","20","7","3","4","2","5","1","1","1","1","1","0","0","1","0","2","5","16","11","7","9","7","13","9","3"
"202304","나주","14","4","9","1","0","0","2","12","0","0","1","0","0","3","4","2","4","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","3","2","0","1","0","1","2"
"202304","양주","73","41","13","19","0","1","5","63","4","0","18","7","6","8","10","10","14","3","0","1","0","3","0","0","0","1","0","0","0","0","1","0","5","6","11","6","1","10","11","3","11"
"202304","구리","33","15","10","8","0","0","1","30","1","1","3","5","6","4","7","6","2","0","2","0","0","0","0","0","0","0","0","0","0","1","2","1","2","3","5","4","3","4","1","3","2"
"202304","파주","114","67","26","21","0","0","5","107","2","0","21","18","10","11","19","19","16","11","1","0","0","1","0","0","0","1","0","0","0","0","0","1","4","8","12","7","5","17","17","15","14"
"202304","부천원미","96","58","19","19","0","0","4","87","5","0","16","19","5","13","8","23","12","5","0","2","2","2","0","0","0","2","1","0","0","0","3","2","2","7","8","16","6","6","16","8","8"
"202304","고양","92","51","14","27","0","0","3","87","2","0","14","13","11","14","3","23","14","4","4","7","3","0","0","0","0","0","0","0","2","0","1","1","3","2","13","2","6","5","10","22","7"
"202304","여주","11","8","1","2","0","0","0","11","0","0","6","2","2","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","1","1","3","0","1","0","1","1"
"202304","부안","3","2","1","0","0","0","0","3","0","0","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0"
"202304","대구수성","197","40","20","137","0","0","4","190","2","1","33","35","33","7","23","27","39","6","3","3","1","0","0","0","1","0","1","0","1","5","1","9","10","27","33","34","16","21","6","15","4"
"202304","울산중부","79","48","15","16","0","0","2","73","4","0","21","8","3","6","16","13","12","0","1","2","0","0","0","0","1","0","0","0","1","1","2","1","0","3","10","10","6","9","18","8","6"
"202304","의왕","29","13","6","10","0","0","0","27","1","1","11","3","1","1","2","8","3","3","2","3","1","0","0","0","0","0","0","0","0","0","0","0","3","2","1","3","0","2","3","5","1"
"202304","포천","26","14","7","5","0","0","3","23","0","0","5","4","1","1","1","7","7","1","2","0","0","0","0","0","1","0","0","0","0","0","0","2","1","2","2","3","1","0","4","3","4"
"202304","광명","88","39","25","24","0","0","2","83","2","1","7","10","10","17","15","15","14","3","3","0","1","0","0","0","0","0","0","0","0","0","0","0","5","3","19","7","5","11","12","12","7"
"202304","울산울주","29","18","2","9","0","0","2","25","1","1","5","2","5","2","4","4","7","5","0","2","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","2","2","3","5","4","3"
"202304","제주서부","58","31","18","9","0","0","1","54","3","0","15","5","5","6","4","9","14","2","1","0","0","1","0","0","1","0","0","0","0","0","1","1","5","8","8","5","5","7","8","3","2"
"202304","제주동부","50","32","10","8","0","0","0","48","1","1","5","5","3","13","11","7","6","2","1","2","0","0","0","0","1","0","0","0","1","0","1","0","1","2","7","4","6","4","5","9","4"
"202304","정선","2","2","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0"
"202304","오산","48","26","9","13","0","0","1","45","1","1","6","6","3","4","9","8","12","3","1","2","1","0","1","0","0","0","0","1","0","0","1","1","4","4","3","7","4","0","5","3","7"
"202304","가평","8","5","0","3","0","0","1","6","1","0","1","1","0","0","1","0","5","1","0","0","0","0","0","0","0","0","0","0","3","0","0","0","2","0","0","0","0","0","1","1","0"
